"start",,,,
"﻿Kapitel XI C",,,,
,0,14,"MISC",
"Romans",67,73,"LOC",
"Gesellschaft",,,,
1,132,146,"ORG",
"Marmontel",223,232,"LOC",
"Rétif de la Bretonne",234,254,"LOC",
"Bernardin de Saint-Pierre",,,,
,259,285,"PER","falsch"
"Marivaux",648,656,"PER","richtig"
"Prévost",661,668,"PER","richtig"
"französischen",1008,1021,"MISC",
"englischen",1039,1049,"MISC",
"Richardson",1084,1094,"PER","richtig"
"französischer",1138,1151,"MISC",
"Richardson",1176,1186,"PER","richtig"
"Fielding",1397,1405,"PER","richtig"
"sozialen",1468,1476,"MISC",
"Ge-",,,,
,1531,1535,"ORG",
"universal",1604,1613,"ORG",
"sagen.“1",1897,1905,"MISC",
"“",2286,2287,"MISC",
"Frankreich",2394,2404,"LOC",
"Marmontels",2488,2498,"PER","richtig"
"Cervantesschen Musternovellen",2723,2752,"MISC",
"Marmontels",3257,3267,"PER","richtig"
"Roman Bélisaire",3468,3483,"PER","teilrichtig"
"citoyen“",3786,3794,"PER","falsch"
"römischen",3813,3822,"MISC",
"Justinian",3831,3840,"PER","richtig"
"Bélisaire bettelnd",4246,4264,"PER","teilrichtig"
"Den Sohn",4410,4418,"PER","falsch"
"“",4879,4880,"MISC",
"Der alte Mann",5039,5052,"MISC",
"Romans",5775,5781,"MISC",
"Bélisaire",5863,5872,"PER","richtig"
"Bélisaire",6122,6131,"PER","richtig"
"Zeit",6220,6224,"MISC",
"soziale",6285,6292,"MISC",
"Manon Lescaut",6574,6587,"MISC",
"Der Abbé Prévost",6590,6606,"MISC",
"Manon",6687,6692,"PER","?"
"Grieux et de Manon Lescaut",6817,6843,"LOC",
"Chevaliers Des Grieux",6883,6904,"LOC",
"Manon Les caut’s",6909,6925,"MISC",
"Tiberge",6932,6939,"MISC",
"Des Grieux",6948,6958,"MISC",
"Tiberge",7027,7034,"PER","?"
"Sorbonne",7261,7269,"LOC",
"Pariser Gericht",7278,7293,"LOC",
"Ironie",7407,7413,"LOC",
"Montesquieus",7432,7444,"PER","richtig"
"Chevrier",7641,7649,"PER","richtig"
"Le Colporteur",7665,7678,"MISC",
"Der Kolporteur“",7687,7702,"MISC",
"Der Steuerpächter schlürft das Blut der Völker",7715,7761,"MISC",
"“",7796,7797,"MISC",
"Romanhelden",7820,7831,"MISC",
"“",7927,7928,"MISC",
"Mémoires de la marquise de Cremy",7946,7978,"LOC",
"Jean-Jacques Rousseau",8099,8120,"PER","richtig"
"“",8244,8245,"MISC",
"Diderots",8409,8417,"PER","richtig"
"Kind",8499,8503,"PER","falsch"
"sic",8629,8632,"ORG",
"“",8687,8688,"MISC",
"Erzählprosa",8868,8879,"MISC",
"Rousseau",8974,8982,"PER","richtig"
"Diderot",8987,8994,"PER","richtig"
"Erzählprosa",9306,9317,"LOC",
"Erzählprosa",9688,9699,"LOC",
"“",9747,9748,"MISC",
"Huet",9922,9926,"MISC",
"“",10007,10008,"MISC",
"Abbé Irailh",10177,10188,"MISC",
"Romans",10237,10243,"PER","falsch"
"Werner Krauss",10715,10728,"PER","richtig"
"Marmontel",10745,10754,"PER","richtig"
"“",10854,10855,"MISC",
"Zeit",11590,11594,"MISC",
"Aufklärungsromans",12425,12442,"LOC",
"Rétif de la Bretonne",12635,12655,"PER","richtig"
"sozialen",13157,13165,"MISC",
"Rousseau",13257,13265,"PER","richtig"
"“",13954,13955,"MISC",
"Pariser",14165,14172,"LOC",
"“",14286,14287,"MISC",
"Rousseaus",,,,
,14654,14664,"PER","falsch"
"“",15280,15281,"MISC",
"Rétif",15447,15452,"MISC",
"sozialen",15474,15482,"MISC",
"Nuits de Paris",15535,15549,"LOC",
"Paris",15578,15583,"LOC",
"anno 2093",15625,15634,"MISC",
"Zeit vom Ende der Könige“",15687,15712,"MISC",
"Rétif",16073,16078,"MISC",
"Verschiedenes“",16088,16102,"MISC",
"Rétifs",16460,16466,"PER","richtig"
"Henri Bachelin",16556,16570,"PER","richtig"
"lesenswertesten",16606,16621,"MISC",
"soziale",16675,16682,"MISC",
"Le Thesmographe",16702,16717,"MISC",
"Le Pornographe",16719,16733,"LOC",
"La Découverte",16735,16748,"LOC",
"australische",16764,16776,"MISC",
"Das Leben meines Vaters“",16847,16871,"MISC",
"Monsieur Nicolas",16874,16890,"MISC",
"ou le coeur humain dévoilé",16892,16918,"MISC",
"Monsieur Nicolas",16931,16947,"MISC",
"entschleierte menschliche Herz“",16957,16988,"MISC",
"Le Ménage parisien",17005,17023,"PER","falsch"
"Der Pariser Haushalt",17026,17046,"MISC",
"Le Paysan perverti",17054,17072,"MISC",
"Der verdorbene Bauer“",17075,17096,"MISC",
"romaneske Züge",17132,17146,"PER","falsch"
